species_normalized,pollution_response,evidence_level,evidence_metric,evidence_value,evidence_unit,source_note
xylia xylocarpa,0.65,medium,APTI,10.946,index,"Published APTI evidence; tolerance metric, not direct removal"
mesua ferrea,0.50,low,none,,, "Insufficient comparable species-specific evidence"
melia azedarach,0.60,low,PM deposition,,, "Published particulate-deposition evidence; not directly comparable across studies"
gmelina arborea,0.65,medium,pollution tolerance,,, "Published roadside pollution-tolerance evidence"
acacia mangium,0.50,low,none,,, "Insufficient comparable species-specific evidence"
bischofia javanica,0.50,low,none,,, "Insufficient comparable species-specific evidence"
acacia auriculiformis,0.75,high,APTI/API,11.19,index,"Published Indian APTI/API evidence; good anticipated performance"
tectona grandis,0.60,medium,dust/pollution response,,, "Published dust/pollution studies; evidence is not equivalent to removal rate"
calophyllum inophyllum,0.80,medium,APTI,19.26,index,"Published APTI evidence; tolerance metric, not direct removal"
swietenia macrophylla,0.65,medium,APTI/RGR,,, "Published study classified species as moderately pollution tolerant"
adenanthera pavonina,0.50,low,none,,, "Insufficient comparable species-specific evidence"
artocarpus heterophyllus,0.90,high,APTI/API,46.74,index,"Published Indian APTI/API evidence; very good greenbelt performance"
acrocarpus fraxinifolius,0.50,low,none,,, "Insufficient comparable species-specific evidence"
careya arborea,0.50,low,none,,, "Insufficient comparable species-specific evidence"
caryota urens,0.50,low,none,,, "Insufficient comparable species-specific evidence"
cananga odorata,0.50,low,none,,, "Insufficient comparable species-specific evidence"
