species_normalized,pune_tree_count,common_name,local_name,dominant_condition,canonical_botanical_name,survival_match,recommendation_eligible,evidence_tier,survival_observations,observed_survival_mean,observed_survival_median,observed_survival_sd,observed_survival_min,observed_survival_max
xylia xylocarpa,31,Burma Ironwod,Jambha,Healthy,Xylia xylocarpa (Roxb.) Taub.,True,True,C,12,96.1313559325,98.03305084499999,4.5616643850296565,84.4,100.0
mesua ferrea,4,Nagkeshar,Nagkeshar,Healthy,Mesua ferrea Linn.,True,True,C,8,90.63274378625,90.76481835499999,7.468612526863033,80.0,100.0
melia azedarach,600,Bakneem,Bakneem,Healthy,Melia azedarach L.,True,True,C,8,82.58386188,85.15,16.615578729662797,55.0,100.0
gmelina arborea,1263,Shivan,Shivan,Healthy,Gmelina arborea Roxb.,True,True,C,12,78.55833333333334,82.7,22.736812694728158,27.5,100.0
acacia mangium,1292,Vilayati Babhul,Menjim,Healthy,Acacia mangium Willd.,True,True,B,18,78.23069679888889,94.95762712,32.57957024729347,0.0,100.0
bischofia javanica,1,Bishop wood,Boke,Healthy,Bischofia javanica Blume,True,True,C,11,72.49568630181818,78.46,27.367700605784037,0.0,100.0
acacia auriculiformis,4775,Earleaf Acacia,Australian Acacia,Healthy,Acacia auriculiformis A. cunh ex Benth.,True,True,C,10,66.75702368099999,68.07039074,33.13606982694277,28.80172113,99.77652531
tectona grandis,16665,Teak Wood Tree,Sag,Healthy,Tectona grandis Linn.f.,True,True,C,5,58.76069645,49.81496705,16.600730039553262,45.10079878,85.79577664
calophyllum inophyllum,540,Sultan Champa,Undi,Healthy,Calophyllum inophyllum Linn.,True,True,C,9,57.402252492222225,43.82022472,31.887672280626123,22.2,100.0
swietenia macrophylla,14039,Bigleaf Mahogani,Mothi Mahogani,Healthy,Swietenia macrophylla King.,True,True,B,16,48.81875,60.5,43.060147371632006,0.0,100.0
adenanthera pavonina,57,Ratangunj,Thorla Goonj,Healthy,Adenanthera pavonina Linn.,True,True,C,7,48.391855808571435,67.0,42.18020832548588,0.0,93.45794393
artocarpus heterophyllus,8906,Jackfruit,Phanas,Healthy,Artocarpus heterophyllus Lamk.,True,True,C,8,40.87,30.3,27.76005300530139,11.8,91.07
acrocarpus fraxinifolius,1,Pink Cedar,Tokphal,Healthy,Acrocarpus fraxinifolius Arn.,True,True,C,5,40.14,28.6,33.439542460984725,14.9,98.7
careya arborea,16,Wild Guava,Kumbha,Healthy,Careya arborea Roxb.,True,True,C,6,33.31166666666667,38.885,18.702710409634925,8.3,55.56
caryota urens,12505,Fish Tail Palm,Bherali Mad,Healthy,Caryota urens Linn.,True,True,C,7,26.271428571428572,23.3,14.349415119987095,6.8,46.8
cananga odorata,4,Ylang Ylang Tree,Ylang Ylang Tree,Healthy,Cananga odorata (Lamk.) Hook.f. & Thom.,True,True,C,6,23.145,19.44,16.26198973065719,5.56,44.44
