country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,age_0,height_0,species_full,genus,species,family,lat_dec,lon_dec,duration_months,w_meanWD,w_sdWD,w_levelWD,w_nInd,sample_assumption,sample_weight,site_sp,treatment,yr_cat,survival_per
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,156.0,0.44,0.070823262,,4,,384.0,,1,10.0,45.3
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,0,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,156.0,0.405,0.070823262,,2,,384.0,,1,10.0,46.4
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,156.0,0.405,0.070823262,,2,,384.0,,1,10.0,20.0
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,168.0,0.405,0.070823262,,2,,666.0,,1,10.0,65.6
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,168.0,0.405,0.070823262,,2,,666.0,,1,10.0,42.3
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,168.0,0.405,0.070823262,,2,,666.0,,1,10.0,53.2
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,168.0,0.405,0.070823262,,2,,666.0,,1,10.0,21.6
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,168.0,0.405,0.070823262,,2,,666.0,,1,10.0,16.9
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,156.0,0.44,0.070823262,,4,,384.0,,1,10.0,62.5
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,156.0,0.44,0.070823262,,4,,384.0,,1,10.0,48.3
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,168.0,0.44,0.070823262,,4,,666.0,,1,10.0,70.7
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,168.0,0.44,0.070823262,,4,,666.0,,1,10.0,72.8
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,168.0,0.44,0.070823262,,4,,666.0,,1,10.0,50.2
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,168.0,0.44,0.070823262,,4,,666.0,,1,10.0,62.5
Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2,9.0,,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,4.1,101.2,168.0,0.44,0.070823262,,4,,666.0,,1,10.0,29.4
Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2,9.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,4.1,101.2,156.0,0.405,0.070823262,,2,,384.0,,1,10.0,55.7
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,36.0,,1,10.0,36.3
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,500.0,,1,10.0,65.5
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,88.0,,1,10.0,52.2
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,55.0,,1,10.0,45.0
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,36.0,,1,10.0,38.6
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,36.0,,1,10.0,28.1
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,500.0,,1,10.0,46.7
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,88.0,,1,10.0,42.1
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,1111.111111,2,9.0,80.0,Shorea pauciflora,Shorea,pauciflora,Dipterocarpaceae,4.6,101.7333333,132.0,0.5325,0.070823262,,4,,55.0,,1,10.0,29.4
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,36.0,,1,10.0,48.7
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,36.0,,1,10.0,46.0
Malaysia,,LG,forest_enrichment,1,0,0,0,0,0,333.3333333,2,9.0,80.0,Shorea macroptera,Shorea,macroptera,Dipterocarpaceae,4.6,101.7333333,132.0,0.425,0.070823262,,4,,36.0,,1,10.0,47.3
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Vitex pinnata,Vitex,pinnata,Lamiaceae,-1.012222222,116.9075,12.0,0.565170667,0.09413391,,25,,120.0,,1,1.0,100.0
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Vitex pinnata,Vitex,pinnata,Lamiaceae,-1.012222222,116.9075,48.0,0.565170667,0.09413391,,25,,120.0,,1,4.0,100.0
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Ficus variegata,Ficus,variegata,Moraceae,-1.012222222,116.9075,12.0,0.327,0.070823262,,2,,120.0,,1,1.0,70.0
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Ficus variegata,Ficus,variegata,Moraceae,-1.012222222,116.9075,48.0,0.327,0.070823262,,2,,120.0,,1,4.0,32.5
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-1.012222222,116.9075,12.0,0.69,0.070823262,,1,,120.0,,1,1.0,97.5
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-1.012222222,116.9075,48.0,0.69,0.070823262,,1,,120.0,,1,4.0,84.17
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium scortechinii,Syzygium,scortechinii,Myrtaceae,-1.012222222,116.9075,12.0,0.664366667,0.09413391,,51,,120.0,,1,1.0,99.17
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium scortechinii,Syzygium,scortechinii,Myrtaceae,-1.012222222,116.9075,48.0,0.664366667,0.09413391,,51,,120.0,,1,4.0,96.67
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium nervosum,Syzygium,nervosum,Myrtaceae,-1.012222222,116.9075,12.0,0.664366667,0.09413391,,51,,120.0,,1,1.0,98.33
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium nervosum,Syzygium,nervosum,Myrtaceae,-1.012222222,116.9075,48.0,0.664366667,0.09413391,,51,,120.0,,1,4.0,91.67
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium lineatum,Syzygium,lineatum,Myrtaceae,-1.012222222,116.9075,12.0,0.664366667,0.09413391,,51,,120.0,,1,1.0,91.67
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Syzygium lineatum,Syzygium,lineatum,Myrtaceae,-1.012222222,116.9075,48.0,0.664366667,0.09413391,,51,,120.0,,1,4.0,90.0
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Schima wallichii,Schima,wallichii,Theaceae,-1.012222222,116.9075,12.0,0.55775,0.070823262,,8,,120.0,,1,1.0,69.17
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Schima wallichii,Schima,wallichii,Theaceae,-1.012222222,116.9075,48.0,0.55775,0.070823262,,8,,120.0,,1,4.0,65.83
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Macaranga motleyana,Macaranga,motleyana,Euphorbiaceae,-1.012222222,116.9075,12.0,0.382929167,0.09413391,,40,,120.0,,1,1.0,97.5
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Macaranga motleyana,Macaranga,motleyana,Euphorbiaceae,-1.012222222,116.9075,48.0,0.382929167,0.09413391,,40,,120.0,,1,4.0,82.5
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Glochidion rubrum,Glochidion,rubrum,Phyllanthaceae,-1.012222222,116.9075,12.0,0.64,0.070823262,,1,,120.0,,1,1.0,76.67
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Glochidion rubrum,Glochidion,rubrum,Phyllanthaceae,-1.012222222,116.9075,48.0,0.64,0.070823262,,1,,120.0,,1,4.0,60.0
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Cleistanthus oblongifolius,Cleistanthus,oblongifolius,Phyllanthaceae,-1.012222222,116.9075,12.0,0.6518,0.09413391,,5,,120.0,,1,1.0,94.17
Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1,6.0,,Cleistanthus oblongifolius,Cleistanthus,oblongifolius,Phyllanthaceae,-1.012222222,116.9075,48.0,0.6518,0.09413391,,5,,120.0,,1,4.0,90.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1,,32.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,-3.7,115.15,12.0,0.405,0.070823262,,2,,35.0,,1,1.0,50.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1,,32.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,-3.7,115.15,24.0,0.405,0.070823262,,2,,35.0,,1,2.0,28.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1,,32.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,-3.7,115.15,12.0,0.405,0.070823262,,2,,35.0,,1,1.0,73.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1,,32.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,-3.7,115.15,24.0,0.405,0.070823262,,2,,35.0,,1,2.0,64.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2,3.0,30.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,-3.7,115.15,24.0,0.393333333,0.070823262,,3,,20.0,,1,2.0,62.5
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,-3.7,115.15,24.0,0.393333333,0.070823262,,3,,20.0,,1,2.0,57.5
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,-3.7,115.15,24.0,0.393333333,0.070823262,,3,,20.0,,1,2.0,45.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,-3.7,115.15,24.0,0.393333333,0.070823262,,3,,20.0,,1,2.0,35.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,-3.7,115.15,24.0,0.44,0.070823262,,4,,20.0,,1,2.0,70.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,-3.7,115.15,24.0,0.44,0.070823262,,4,,20.0,,1,2.0,85.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,-3.7,115.15,24.0,0.44,0.070823262,,4,,20.0,,1,2.0,75.0
Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3,3.0,30.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,-3.7,115.15,24.0,0.44,0.070823262,,4,,20.0,,1,2.0,77.5
