row_id,country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,species_full,genus,species,family,survival_per,lat_dec,lon_dec,w_meanWD,treatment,planting_density_missing,target_horizon_months,split_group_id,split_set
0,Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,45.3,4.1,101.2,0.44,1,0,156.0,AA2008,train
1,Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,46.4,4.1,101.2,0.405,1,0,156.0,AA2008,train
2,Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,20.0,4.1,101.2,0.405,1,0,156.0,AA2008,train
3,Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,65.6,4.1,101.2,0.405,1,0,168.0,AA2008,train
4,Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,42.3,4.1,101.2,0.405,1,0,168.0,AA2008,train
5,Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,53.2,4.1,101.2,0.405,1,0,168.0,AA2008,train
6,Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,21.6,4.1,101.2,0.405,1,0,168.0,AA2008,train
7,Malaysia,Perak,PL,plantation_enrichment,0,1,0,0,0,0,666.6666667,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,16.9,4.1,101.2,0.405,1,0,168.0,AA2008,train
8,Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,62.5,4.1,101.2,0.44,1,0,156.0,AA2008,train
9,Malaysia,Perak,LG,forest_enrichment,1,0,0,0,0,0,800.0,2.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,48.3,4.1,101.2,0.44,1,0,156.0,AA2008,train
