evidence_rank,v5_rank,species_normalized,pune_tree_count,common_name,local_name,dominant_condition,survival_observations,observed_survival_mean,evidence_tier,v5_predicted_survival,model_signal,historical_survival_signal,observation_strength,pune_presence_signal,historical_evidence_adjusted,evidence_score,evidence_confidence,survival_evidence_interpretation
1,1,gmelina arborea,1263,Shivan,Shivan,Healthy,12,78.55833333333334,C,89.75406095218547,100.0,78.55833333333334,55.067103588277845,100.0,69.72812104636915,87.89124841854766,High,Strong survival evidence
2,4,acacia mangium,1292,Vilayati Babhul,Menjim,Healthy,18,78.23069679888889,B,88.60180741738154,88.91019868651362,78.23069679888889,69.88057880877977,100.0,72.41031071997222,84.52820376259433,High,Strong survival evidence
3,2,xylia xylocarpa,31,Burma Ironwod,Jambha,Healthy,12,96.1313559325,C,89.34751179037194,96.08718976119813,96.1313559325,55.067103588277845,50.164407530806045,79.40507560464373,80.22978765249795,Moderate,Strong survival evidence
4,5,melia azedarach,600,Bakneem,Bakneem,Healthy,8,82.58386188,C,87.76824318256794,80.88760516269853,82.58386188,41.335378048996816,92.61574826324087,68.69352994427635,78.35560369543813,Moderate,Strong survival evidence
5,3,mesua ferrea,4,Nagkeshar,Nagkeshar,Healthy,8,90.63274378625,C,89.1039498378089,93.74304103015646,90.63274378625,41.335378048996816,23.295629441831544,72.02056570894209,70.96456858400572,Moderate,Strong survival evidence
6,8,swietenia macrophylla,14039,Bigleaf Mahogani,Mothi Mahogani,Healthy,16,48.81875,B,85.87312821838377,62.6481745302783,48.81875,65.58462131345877,100.0,52.29043039960459,65.97544197195316,High,Limited survival evidence
7,10,calophyllum inophyllum,540,Sultan Champa,Undi,Healthy,9,57.40225249222223,C,85.1281076048917,55.47776426160015,57.40225249222223,45.11883639059735,91.09339497312814,58.22771018953202,63.700868775078504,Moderate,Moderate survival evidence
8,12,acacia auriculiformis,4775,Earleaf Acacia,Australian Acacia,Healthy,10,66.75702368099999,C,84.13507093605718,45.92033699256156,66.75702368099999,48.6582880967408,100.0,62.72634544973004,63.458672976916645,High,Moderate survival evidence
9,9,adenanthera pavonina,57,Ratangunj,Thorla Goonj,Healthy,7,48.39185580857144,C,85.71796318446789,61.15479712248387,48.39185580857144,37.29109147269439,58.77242918945924,54.98537062164951,58.2105529355452,Moderate,Limited survival evidence
10,13,tectona grandis,16665,Teak Wood Tree,Sag,Healthy,5,58.76069645,C,82.50510997948425,30.232866647582497,58.76069645,28.34686894262107,100.0,58.86505065952093,55.63916692284137,Moderate,Moderate survival evidence
11,7,bischofia javanica,1,Bishop wood,Boke,Healthy,11,72.49568630181818,C,86.257175862986,66.34442014368483,72.49568630181818,51.96946989102006,10.032881506161209,65.9686485841054,54.93180379234833,Moderate,Strong survival evidence
12,6,cananga odorata,4,Ylang Ylang Tree,Ylang Ylang Tree,Healthy,6,23.145,C,86.98154140186851,73.31603677310174,23.145,32.967995396436066,23.295629441831544,47.11653937587965,52.832156347958865,Moderate,Limited survival evidence
13,11,careya arborea,16,Wild Guava,Kumbha,Healthy,6,33.31166666666667,C,84.64347635264299,50.81345720121109,33.31166666666667,32.967995396436066,41.00903034710167,50.46828557451731,48.7145031797117,Moderate,Limited survival evidence
14,14,artocarpus heterophyllus,8906,Jackfruit,Phanas,Healthy,8,40.87,C,81.1801927647284,17.481273161726772,40.87,41.335378048996816,100.0,51.45094743734198,47.5728882396275,Moderate,Limited survival evidence
15,15,caryota urens,12505,Fish Tail Palm,Bherali Mad,Healthy,7,26.27142857142857,C,80.60119210887788,11.908712922323225,26.27142857142857,37.29109147269439,100.0,46.73642186649575,43.45805391552759,Moderate,Limited survival evidence
16,16,acrocarpus fraxinifolius,1,Pink Cedar,Tokphal,Healthy,5,40.14,C,79.36385194634269,0.0,40.14,28.34686894262107,10.032881506161209,53.58666624063614,23.4412427974867,Moderate,Limited survival evidence
