species_normalized,pollution_response,evidence_level,evidence_metric,evidence_value,evidence_unit,source_note,species_key,pollution_score
xylia xylocarpa,0.65,medium,APTI,10.946,index,"Published APTI evidence; tolerance metric, not direct removal",xylia xylocarpa,4.12
mesua ferrea,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",mesua ferrea,3.17
melia azedarach,0.6,low,PM deposition,,," ""Published particulate-deposition evidence; not directly comparable across studies""",melia azedarach,3.8
gmelina arborea,0.65,medium,pollution tolerance,,," ""Published roadside pollution-tolerance evidence""",gmelina arborea,4.12
acacia mangium,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",acacia mangium,3.17
bischofia javanica,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",bischofia javanica,3.17
acacia auriculiformis,0.75,high,APTI/API,11.19,index,Published Indian APTI/API evidence; good anticipated performance,acacia auriculiformis,4.75
tectona grandis,0.6,medium,dust/pollution response,,," ""Published dust/pollution studies; evidence is not equivalent to removal rate""",tectona grandis,3.8
calophyllum inophyllum,0.8,medium,APTI,19.26,index,"Published APTI evidence; tolerance metric, not direct removal",calophyllum inophyllum,5.07
swietenia macrophylla,0.65,medium,APTI/RGR,,," ""Published study classified species as moderately pollution tolerant""",swietenia macrophylla,4.12
adenanthera pavonina,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",adenanthera pavonina,3.17
artocarpus heterophyllus,0.9,high,APTI/API,46.74,index,Published Indian APTI/API evidence; very good greenbelt performance,artocarpus heterophyllus,5.7
acrocarpus fraxinifolius,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",acrocarpus fraxinifolius,3.17
careya arborea,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",careya arborea,3.17
caryota urens,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",caryota urens,3.17
cananga odorata,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",cananga odorata,3.17
