location_id,n_species,spearman,top1,top3,actual_best_species,predicted_best_species,rank_of_actual_best
-0.6_111.65,22,-0.022052608972425187,0,0,Shorea leprosula,Hopea mengarawan,19.0
-0.9833_116.95,9,0.33193277310924374,0,1,Shorea laevis,Dryobalanops lanceolata,3.0
-1.1544_103.565,6,0.6957252427829382,0,1,Shorea balangeran,Coffea liberica,2.0
-1.36_103.89,28,-0.172721056414649,0,0,Calophyllum soulattri,Dillenia excelsa,26.0
-2.3156_114.0586,3,-0.5,0,1,Melaleuca cajuputi,Shorea balangeran,2.0
-3.7_115.15,11,-0.0956722299914231,0,0,Hopea sangal,Dipterocarpus kunstleri,4.0
1.3897_101.8664,6,-0.7714285714285715,0,0,Cratoxylum arborescens,Calophyllum lowei,6.0
14.5_101.905,4,-0.39999999999999997,0,1,Dipterocarpus scaber,Dipterocarpus turbinatus,2.0
22.4333_114.1167,4,0.0,0,1,Schima superba,Castanopsis fissa,2.0
22.5667_112.8333,9,0.15062893357603013,1,1,Castanopsis hystrix,Castanopsis hystrix,1.0
23.5_111.8167,8,-0.19047619047619052,0,0,Erythrophleum fordii,Elaeocarpus sylvestris,5.0
3.0167_101.6167,3,1.0,1,1,Anisoptera marginata,Anisoptera marginata,1.0
5.44_118.05,3,0.5,0,1,Hopea nervosa,Dryobalanops lanceolata,2.0
