location_id,n_species,spearman,top1,top3,actual_best_species,predicted_best_species,rank_of_actual_best
-0.6_111.65,22,-0.4477696216826652,0,0,Shorea leprosula,Shorea johorensis,19.0
-0.9833_116.95,9,0.15062893357603013,0,1,Shorea laevis,Dryobalanops lanceolata,2.0
-1.1544_103.565,6,0.942857142857143,1,1,Shorea balangeran,Shorea balangeran,1.0
-1.36_103.89,28,0.16157747180064774,0,1,Calophyllum soulattri,Hopea odorata,2.0
-2.3156_114.0586,3,-1.0,0,1,Melaleuca cajuputi,Shorea balangeran,3.0
-3.7_115.15,11,-0.29090909090909095,0,1,Hopea sangal,Dipterocarpus kunstleri,6.0
1.3897_101.8664,6,0.3714285714285715,1,1,Cratoxylum arborescens,Cratoxylum arborescens,1.0
14.5_101.905,4,0.39999999999999997,1,1,Dipterocarpus scaber,Dipterocarpus scaber,1.0
22.4333_114.1167,4,0.7999999999999999,1,1,Schima superba,Schima superba,1.0
22.5667_112.8333,9,-0.08333333333333334,0,1,Castanopsis hystrix,Cryptocarya chinensis,4.0
23.5_111.8167,8,0.0,0,1,Erythrophleum fordii,Schima superba,5.0
3.0167_101.6167,3,-1.0,0,1,Anisoptera marginata,Shorea platyclados,3.0
5.44_118.05,3,-0.5,0,1,Hopea nervosa,Dryobalanops lanceolata,3.0
