rank,species_normalized,v6_score,v5_score,evidence_score,soil_score,climate_score,pollution_score,user_fit_score,pollution_response,evidence_level,evidence_metric,evidence_value,evidence_unit,source_note,climate_observations,common_name,local_name,pune_tree_count,canonical_botanical_name,dominant_condition,survival_observations,observed_survival_mean
1,melia azedarach,71.6992027168558,87.76824318256794,78.35560369543813,78.26376593008607,77.19,3.8,50.0,0.6,low,PM deposition,,," ""Published particulate-deposition evidence; not directly comparable across studies""",8,Bakneem,Bakneem,600,Melia azedarach L.,Healthy,8,82.58386188
2,gmelina arborea,70.04444537087622,89.75406095218547,87.89124841854766,60.78089151479909,64.3,4.12,50.0,0.65,medium,pollution tolerance,,," ""Published roadside pollution-tolerance evidence""",12,Shivan,Shivan,1263,Gmelina arborea Roxb.,Healthy,12,78.55833333333334
3,bischofia javanica,67.03379065038845,86.257175862986,54.93180379234833,87.06766490894537,59.14,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",11,Bishop wood,Boke,1,Bischofia javanica Blume,Healthy,11,72.49568630181818
4,mesua ferrea,64.44440638865856,89.1039498378089,70.96456858400572,51.80094110622762,50.71,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",8,Nagkeshar,Nagkeshar,4,Mesua ferrea Linn.,Healthy,8,90.63274378625
5,acacia auriculiformis,64.41453749997567,84.13507093605718,63.458672976916645,93.07805452676864,18.05,4.75,50.0,0.75,high,APTI/API,11.19,index,Published Indian APTI/API evidence; good anticipated performance,10,Earleaf Acacia,Australian Acacia,4775,Acacia auriculiformis A. cunh ex Benth.,Healthy,10,66.75702368099999
6,acacia mangium,63.36473781447406,88.60180741738154,84.52820376259433,33.71856188754868,48.7,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",18,Vilayati Babhul,Menjim,1292,Acacia mangium Willd.,Healthy,18,78.23069679888889
7,swietenia macrophylla,62.86035326064379,85.87312821838377,65.97544197195316,59.61190451664873,42.61,4.12,50.0,0.65,medium,APTI/RGR,,," ""Published study classified species as moderately pollution tolerant""",16,Bigleaf Mahogani,Mothi Mahogani,14039,Swietenia macrophylla King.,Healthy,16,48.81875
8,adenanthera pavonina,61.84171782900473,85.71796318446789,58.2105529355452,77.57966409923861,18.69,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",7,Ratangunj,Thorla Goonj,57,Adenanthera pavonina Linn.,Healthy,7,48.39185580857144
9,artocarpus heterophyllus,61.407194195562234,81.1801927647284,47.5728882396275,68.56789235817827,59.44,5.7,50.0,0.9,high,APTI/API,46.74,index,Published Indian APTI/API evidence; very good greenbelt performance,8,Jackfruit,Phanas,8906,Artocarpus heterophyllus Lamk.,Healthy,8,40.87
10,xylia xylocarpa,59.89730455205352,89.34751179037194,80.22978765249795,18.17887792020034,39.85,4.12,50.0,0.65,medium,APTI,10.946,index,"Published APTI evidence; tolerance metric, not direct removal",12,Burma Ironwod,Jambha,31,Xylia xylocarpa (Roxb.) Taub.,Healthy,12,96.1313559325
11,calophyllum inophyllum,59.45712104763726,85.1281076048917,63.7008687750785,49.7183179294587,28.86,5.07,50.0,0.8,medium,APTI,19.26,index,"Published APTI evidence; tolerance metric, not direct removal",9,Sultan Champa,Undi,540,Calophyllum inophyllum Linn.,Healthy,9,57.40225249222223
12,cananga odorata,58.250806964382434,86.98154140186851,52.83215634795887,59.029113009607975,13.62,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",6,Ylang Ylang Tree,Ylang Ylang Tree,4,Cananga odorata (Lamk.) Hook.f. & Thom.,Healthy,6,23.145
13,caryota urens,57.83033286321113,80.60119210887788,43.45805391552759,68.69431954887222,34.5,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",7,Fish Tail Palm,Bherali Mad,12505,Caryota urens Linn.,Healthy,7,26.27142857142857
14,careya arborea,57.00681159749326,84.64347635264299,48.7145031797117,61.08830386319536,13.62,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",6,Wild Guava,Kumbha,16,Careya arborea Roxb.,Healthy,6,33.31166666666667
15,tectona grandis,53.30298981532263,82.50510997948425,55.63916692284137,34.21380523401816,14.43,3.8,50.0,0.6,medium,dust/pollution response,,," ""Published dust/pollution studies; evidence is not equivalent to removal rate""",5,Teak Wood Tree,Sag,16665,Tectona grandis Linn.f.,Healthy,5,58.76069645
16,acrocarpus fraxinifolius,49.3616006819438,79.36385194634269,23.4412427974867,43.27248989189143,22.92,3.17,50.0,0.5,low,none,,," ""Insufficient comparable species-specific evidence""",5,Pink Cedar,Tokphal,1,Acrocarpus fraxinifolius Arn.,Healthy,5,40.14
