species_normalized,scientific_name_gbif,species_key,accepted_taxon_key,latitude,longitude,distance_km,dataset_key,dataset_name,publisher,gbif_id
mussaenda erythrophylla,Mussaenda erythrophylla,2892634.0,2892634,18.554031,73.790458,7.921848304541266,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,5938147585
cullen corylifolium,Cullen corylifolium,2948930.0,2948930,18.481384,73.811531,6.442650815469846,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,5938436310
mangifera indica,Mangifera indica,3190638.0,3190638,18.545303,73.784448,8.105130854278887,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,5938486155
amaranthus spinosus,Amaranthus spinosus,5384401.0,5384401,18.48147,73.811333,6.451680593912348,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,5938628126
ipomoea triloba,Ipomoea triloba,2928547.0,2928547,18.481304,73.811554,6.44685402215644,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,5938695179
peltophorum pterocarpum,Peltophorum pterocarpum,2952775.0,2952775,18.491797,73.813492,5.5563908794591566,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6129908104
foeniculum vulgare,Foeniculum vulgare,3034922.0,3034922,18.525003,73.82414,3.4709070712963768,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6129913832
ipomoea aquatica,Ipomoea aquatica,2928525.0,2928525,18.530073,73.817494,4.271266228786539,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6129983503
ipomoea carnea,Ipomoea carnea,2928590.0,3682029,18.532022,73.816268,4.454438271409289,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6129987965
eleusine indica,Eleusine indica,2705953.0,2705953,18.483832,73.825676,5.218806084140524,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6129997373
thunbergia fragrans,Thunbergia fragrans,5415458.0,5415458,18.544623,73.785759,7.949447532515832,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130268919
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.554607,73.787065,8.268181210721952,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130308146
ficus hispida,Ficus hispida,7879404.0,7879404,18.496613,73.828172,4.00557876420171,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130420252
cocos nucifera,Cocos nucifera,2735117.0,2735117,18.567553,73.826177,6.15183917048378,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130431321
thunbergia erecta,Thunbergia erecta,5415461.0,5415461,18.512319,73.782092,7.917734918648372,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130473152
achyranthes aspera,Achyranthes aspera,3085168.0,3085168,18.563289,73.794732,8.08839047449541,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130528491
rungia elegans,Rungia elegans,3780489.0,3780489,18.527992,73.816017,4.371655801213105,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130592514
gliricidia sepium,Gliricidia sepium,8082978.0,8082978,18.524448,73.831565,2.688065583046758,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130652703
woodfordia fruticosa,Woodfordia fruticosa,5635525.0,5635525,18.528219,73.816425,4.334446057361226,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130757980
phoenix sylvestris,Phoenix sylvestris,5293177.0,5293177,18.567601,73.824268,6.263927162521233,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130784949
catharanthus roseus,Catharanthus roseus,3169830.0,3169830,18.522379,73.829853,2.83917418681814,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130864795
dichrostachys cinerea,Dichrostachys cinerea,2975891.0,2975891,18.555388,73.788681,8.158329514343189,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130898267
bougainvillea spectabilis,Bougainvillea spectabilis,7167078.0,7167078,18.492513,73.814095,5.458750550605367,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130924663
nymphoides hydrophylla,Nymphoides hydrophylla,5592249.0,5592249,18.530063,73.817572,4.263027666527978,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6130966752
syzygium cumini,Syzygium cumini,3183840.0,3183840,18.56739,73.824247,6.24549506995473,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6131061183
broussonetia papyrifera,Broussonetia papyrifera,5361944.0,5361944,18.556854,73.78892,8.215359751153027,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6131119438
chromolaena odorata,Chromolaena odorata,3087725.0,3087725,18.55518,73.788341,8.17889605634213,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6131153819
pterospermum acerifolium,Pterospermum acerifolium,3669210.0,3669210,18.551555,73.785476,8.269525588923406,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6131182033
