species_normalized,scientific_name_gbif,accepted_taxon_key,gbif_records_sampled,unique_coordinates,unique_datasets,unique_publishers,within_10km,within_25km,within_50km,nearest_distance_km,median_distance_km,regional_evidence,survival_n,survival_mean,survival_median,local_presence,candidate_tier,query_latitude,query_longitude
caryota urens,Caryota urens,2738914,53,19,1,1,41,49,53,0.1685600008973145,5.999716607140826,strong,7.0,26.271428571428572,23.3,True,A_ML_SUPPORTED,18.5204,73.8567
artocarpus heterophyllus,Artocarpus heterophyllus,2984565,13,6,1,1,10,13,13,5.2210439069683305,6.218877400637711,moderate,8.0,40.87,30.3,True,A_ML_SUPPORTED,18.5204,73.8567
gmelina arborea,Gmelina arborea,8247889,11,3,1,1,9,11,11,8.078823292646844,8.078823292646844,moderate,12.0,78.55833333333334,82.7,True,A_ML_SUPPORTED,18.5204,73.8567
tectona grandis,Tectona grandis,2925649,12,6,1,1,7,11,12,4.441337800053019,8.270919883448068,moderate,5.0,58.76069645,49.81496705,True,A_ML_SUPPORTED,18.5204,73.8567
careya arborea,Careya arborea,3083448,5,3,1,1,3,3,5,6.16187635782467,6.16187635782467,moderate,6.0,33.31166666666667,38.885,True,A_ML_SUPPORTED,18.5204,73.8567
swietenia macrophylla,Swietenia macrophylla,3190484,2,1,1,1,0,2,2,12.156246991141032,12.156246991141032,weak,16.0,48.81875,60.5,True,A_ML_SUPPORTED,18.5204,73.8567
broussonetia papyrifera,Broussonetia papyrifera,5361944,149,53,1,1,149,149,149,1.1785648681748757,5.876695372469654,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
mangifera indica,Mangifera indica,3190638,169,78,1,1,111,167,169,1.1028962379202605,6.157703175599564,strong,3.0,81.16666666666667,80.5,False,B_REGIONAL_ONLY,18.5204,73.8567
azadirachta indica,Azadirachta indica,3190474,156,109,1,1,109,155,156,1.0155831523331782,8.067328932741509,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus religiosa,Ficus religiosa,5361935,121,90,1,1,107,121,121,0.9915818060013403,2.518765962162181,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
polyalthia longifolia,Polyalthia longifolia,3156422,111,60,1,1,105,111,111,0.20776946991890438,2.3856160238051305,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus racemosa,Ficus racemosa,5361904,93,52,1,1,83,92,93,0.7127998014681984,5.299653661496171,strong,1.0,70.8,70.8,False,B_REGIONAL_ONLY,18.5204,73.8567
pongamia pinnata,Pongamia pinnata,2965911,109,55,1,1,82,108,109,1.6302593234086535,7.833677853461527,strong,2.0,72.05,72.05,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus benghalensis,Ficus benghalensis,5361919,96,58,1,1,82,94,96,0.0927877720237846,3.9152655768929128,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus benjamina,Ficus benjamina,5361932,84,46,1,1,75,84,84,1.2673608961330893,1.5681254466747507,strong,2.0,55.67,55.67,False,B_REGIONAL_ONLY,18.5204,73.8567
peltophorum pterocarpum,Peltophorum pterocarpum,2952775,74,35,1,1,70,74,74,1.3066979628134614,1.7059930382167483,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cocos nucifera,Cocos nucifera,2735117,66,29,1,1,62,65,66,1.3733234655960953,6.001851535016575,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
delonix regia,Delonix regia,2956176,78,40,1,1,53,77,78,1.0896292537916248,6.806936507292804,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
samanea saman,Samanea saman,2972960,54,27,1,1,51,54,54,1.5880852955702254,2.5918040173126724,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
gliricidia sepium,Gliricidia sepium,8082978,53,20,1,1,44,52,53,2.688065583046758,4.484588848198472,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
terminalia catappa,Terminalia catappa,3189394,50,27,1,1,44,50,50,1.3066979628134614,2.0714176794697794,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
calotropis gigantea,Calotropis gigantea,3579089,90,39,1,1,40,88,90,3.6312225602362767,12.752544619015184,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
butea monosperma,Butea monosperma,8234570,43,14,1,1,39,43,43,3.283815370525954,4.666655016118777,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
syzygium cumini,Syzygium cumini,3183840,52,25,1,1,37,51,52,1.3390373466408092,5.897435515132348,strong,1.0,85.6,85.6,False,B_REGIONAL_ONLY,18.5204,73.8567
cassia fistula,Cassia fistula,5357108,59,29,1,1,34,57,59,3.252835390427279,8.07922503140995,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
bauhinia purpurea,Bauhinia purpurea,2953871,34,12,1,1,33,34,34,1.970778345426064,6.014910613604194,strong,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
holoptelea integrifolia,Holoptelea integrifolia,4160169,32,13,1,1,32,32,32,1.9475355030426567,2.6307188837137407,strong,4.0,66.2059218525,67.706843705,False,B_REGIONAL_ONLY,18.5204,73.8567
